tconst,primaryTitle,originalTitle,startYear,runtimeMinutes,genres
tt0951341,Vasvaseh,Vasvaseh,1990,102,['Action']
tt2676928,Lohe Ke Haath,Lohe Ke Haath,1990,127,['Action']
tt0774050,Self Serve,Self Serve,1990,45,['Comedy']
tt0879255,Nehru: The Jewel of India,Nehru: The Jewel of India,1990,165,['Biography']
tt0848483,Tsetskhltan tamashi,Tsetskhltan tamashi,1990,170,['Drama']
tt0848477,Tetri bairagebi,Tetri bairagebi,1990,168,['Drama']
tt0845426,Atash-e penhan,Atash-e penhan,1990,80,"['Action', 'War']"
tt0843264,Dge,Dge,1990,65,['Drama']
tt0829312,Valsis muza garuma,Valsis muza garuma,1990,135,['Drama']
tt0821505,Pierrot Lunaire,Pierrot Lunaire,1990,60,['Drama']
tt0807769,Superment,Superment,1990,129,"['Action', 'Adventure']"
tt0807729,The Sandgrass People,The Sandgrass People,1990,86,['Adventure']
tt0793511,Farmandar,Farmandar,1990,80,"['Drama', 'Mystery']"
tt0781413,Kiralik Anne,Kiralik Anne,1990,78,['Drama']
tt0780032,The Rose,Gol-e sorkh,1990,88,"['Action', 'Thriller']"
tt0778623,Benposta: Kodomo kyôwakoku,Benposta: Kodomo kyôwakoku,1990,99,['Documentary']
tt0403381,Onna ga ichiban niau shokugyo,Onna ga ichiban niau shokugyo,1990,102,"['Action', 'Crime']"
tt0402573,Viernes tragico,Viernes tragico,1990,88,['Drama']
tt0402518,Tarot sangriento,Tarot sangriento,1990,90,"['Horror', 'Thriller']"
tt0363454,Badnam,Badnam,1990,139,"['Action', 'Drama', 'Romance']"
tt0362575,The Dreaded,The Dreaded,1990,85,['Horror']
tt0361851,Lorry Driver,Lorry Driver,1990,135,"['Action', 'Drama']"
tt0361796,Khatarnaak,Khatarnaak,1990,223,"['Action', 'Crime', 'Drama']"
tt0361788,Kadapa Redamma,Kadapa Redamma,1990,130,['Action']
tt0361659,Gonchar i gorshok,Gonchar i gorshok,1990,82,['Family']
tt0361028,Stubborn Dreams,Stubborn Dreams,1990,94,['Documentary']
tt0360693,Jeene Do,Jeene Do,1990,125,"['Action', 'Drama']"
tt0360469,My Friend,Chinguya chinguya,1990,94,"['Action', 'Drama', 'Romance']"
tt0360234,La zona del silencio,La zona del silencio,1990,82,"['Horror', 'Mystery', 'Sci-Fi']"
tt0360123,La tómbola de la muerte,La tómbola de la muerte,1990,90,['Action']
tt0359971,Sheshnaag,Sheshnaag,1990,145,"['Action', 'Fantasy', 'Thriller']"
tt0363681,Hinterland - Eine Vater-Sohn-Geschichte,Hinterland - Eine Vater-Sohn-Geschichte,1990,79,['Documentary']
tt0359967,Sher-Dil,Sher Dil,1990,141,"['Action', 'Biography', 'Crime']"
tt0359520,Lady Kasuga,Jotei: Kasuga no tsubone,1990,114,"['Drama', 'History']"
tt0359495,Jaka Swara,Jaka Swara,1990,90,"['Action', 'Musical']"
tt0359444,Hum Se Na Takrana,Hum Se Na Takrana,1990,145,"['Action', 'Crime', 'Drama']"
tt0359422,El hombre que volvió de la muerte,El hombre que volvió de la muerte,1990,103,"['Horror', 'Sci-Fi']"
