titleId,title,startYear,runtimeMinutes,genres,averageRating,numVotes,sum_pop_actor,main_Actor,nb_main_actor,id_main_actor,poster_path,popularity_movie
tt0100899,Waiting for the Light,1990,94,Comedy,6.0,552.0,25983,unpopolar,0.0,no_id_main_actor,/dA1kSKYRPwhBb4V3BsTPZw04smz.jpg,2.35
tt0104905,Papa et maman sauvent le monde,1992,88,"Adventure,Comedy,Family",5.3,4845.0,42332,unpopolar,0.0,no_id_main_actor,/grRXYyHbkp5ckh1zyQztgXbRIJX.jpg,7.159
tt0114114,Le parfait alibi,1995,98,"Crime,Drama,Mystery",5.3,297.0,36978,unpopolar,0.0,no_id_main_actor,/88NekdFUH5g0GSIpIN8GhokZJNh.jpg,0.875
tt0120829,Le ciel à l'envers,1999,105,"Comedy,Drama",6.3,379.0,35869,unpopolar,0.0,no_id_main_actor,/hHxhjqeL2k8pm4w4WfTF6srx1HQ.jpg,1.305
tt0099450,Coup de foudre à Charleston,1990,103,"Comedy,Romance",5.7,3021.0,66701,unpopolar,0.0,no_id_main_actor,/6r1jVWG8PK7qfsOiwLQrXqCilg5.jpg,6.495
tt0104252,30 Door Key,1991,90,Drama,5.6,373.0,44441,unpopolar,0.0,no_id_main_actor,/6kDRUWO63W23q6SK0Cy9Q0jJs2Z.jpg,1.596
tt0100403,Le prédateur 2,1990,108,"Action,Horror,Sci-Fi",6.3,169258.0,50704,unpopolar,0.0,no_id_main_actor,/7OAAsKvYwEq23ppBSq8NfJ0iUuo.jpg,65.116
tt0100791,To Sleep with Anger,1990,102,Drama,7.2,2557.0,33375,unpopolar,0.0,no_id_main_actor,/geX1nwHJpEXyTEWeSUhCpDJTsNz.jpg,3.2
tt0102729,Danger public,1991,96,"Comedy,Crime,Mystery",5.8,7234.0,43105,unpopolar,0.0,no_id_main_actor,/3ZFbRfsSa04TTHzqcEFZtk6YYPe.jpg,9.437
tt0109127,Les anges frappent et courent,1994,102,"Comedy,Family,Fantasy",6.2,32443.0,67558,Christopher Lloyd,1.0,nm0000502,/bVhGSVLgDo28i9rUBtlpL83iaYH.jpg,10.603
tt0114048,Opération Dumbo,1995,107,"Action,Adventure,Comedy",5.2,9217.0,65358,Ray Liotta,1.0,nm0000501,/it01YaeL2NsHsLCddmjbz8VGabo.jpg,7.983
tt0119210,Switchback,1997,118,"Crime,Mystery,Thriller",6.4,14344.0,39902,unpopolar,0.0,no_id_main_actor,/elEHm8d9yHYv1ua3hyukPZQjpGi.jpg,11.834
